id,value,Author,Skill Statement,parent_id,Keywords,Standards,Certifications,Occupation Major Groups,Occupation Minor Groups,Broad Occupations,Detailed Occupations,O*Net Job Codes,Employers,Alignment Name,Alignment URL,Alignment Framework
Academic Accommodation Plans,Academic Accommodation Plans,,,,,,,,,,,,,,,
Advocacy,Advocacy,,,,,,,,,,,,,,,
Agile Project Management,Agile Project Management,,,,,,,,,,,,,,,
Change Management,Change Management,,,,,,,,,,,,,,,
Collaboration,Collaboration,,,,,,,,,,,,,,,
Communications,Communications,,,,,,,,,,,,,,,
Computer Literacy,Computer Literacy,,,,,,,,,,,,,,,
Continuous Quality Improvement (CQI),Continuous Quality Improvement (CQI),,,,,,,,,,,,,,,
Continuous Improvement,Continuous Improvement,,,,,,,,,,,,,,,
Course Evaluations,Course Evaluations,,,,,,,,,,,,,,,
Critical Thinking,Critical Thinking,,,,,,,,,,,,,,,
Culturally Sensitive,Culturally Sensitive,,,,,,,,,,,,,,,
Curriculum Development,Curriculum Development,,,,,,,,,,,,,,,
Data Analysis,Data Analysis,,,,,,,,,,,,,,,
Data Collection,Data Collection,,,,,,,,,,,,,,,
Data Libraries,Data Libraries,,,,,,,,,,,,,,,
Data Presentation,Data Presentation,,,,,,,,,,,,,,,
Data Visualization,Data Visualization,,,,,,,,,,,,,,,
Decision Making,Decision Making,,,,,,,,,,,,,,,
Design Thinking,Design Thinking,,,,,,,,,,,,,,,
Differentiated Instruction,Differentiated Instruction,,,,,,,,,,,,,,,
Education Theories,Education Theories,,,,,,,,,,,,,,,
Educational Evaluation,Educational Evaluation,,,,,,,,,,,,,,,
Educational Leadership,Educational Leadership,,,,,,,,,,,,,,,
Education Software and Technology,Education Software and Technology,,,,,,,,,,,,,,,
Educational Technologies,Educational Technologies,,,,,,,,,,,,,,,
Ethical Codes,Ethical Codes,,,,,,,,,,,,,,,
Evidence-Based Practice,Evidence-Based Practice,,,,,,,,,,,,,,,
High Motivation,High Motivation,,,,,,,,,,,,,,,
Information literacy,Information literacy,,,,,,,,,,,,,,,
Innovation,Innovation,,,,,,,,,,,,,,,
Instruction Delivery,Instruction Delivery,,,,,,,,,,,,,,,
Instructional and Curriculum Design,Instructional and Curriculum Design,,,,,,,,,,,,,,,
Instructional Design,Instructional Design,,,,,,,,,,,,,,,
Multimedia,Multimedia,,,,,,,,,,,,,,,
Presentations,Presentations,,,,,,,,,,,,,,,
Problem Solving,Problem Solving,,,,,,,,,,,,,,,
Program Development,Program Development,,,,,,,,,,,,,,,
Program Evaluation,Program Evaluation,,,,,,,,,,,,,,,
Program Management,Program Management,,,,,,,,,,,,,,,
Progress Monitoring,Progress Monitoring,,,,,,,,,,,,,,,
Project Management,Project Management,,,,,,,,,,,,,,,
Project Scoping,Project Scoping,,,,,,,,,,,,,,,
Quality Management,Quality Management,,,,,,,,,,,,,,,
Research,Research,,,,,,,,,,,,,,,
Resource Management,Resource Management,,,,,,,,,,,,,,,
Self-Directed Learning,Self-Directed Learning,,,,,,,,,,,,,,,
Social Skills,Social Skills,,,,,,,,,,,,,,,
Strategic Communication,Strategic Communication,,,,,,,,,,,,,,,
Strategic Planning,Strategic Planning,,,,,,,,,,,,,,,
Student Engagement,Student Engagement,,,,,,,,,,,,,,,
Student-Centered Learning,Student-Centered Learning,,,,,,,,,,,,,,,
Sustainability,Sustainability,,,,,,,,,,,,,,,
Task Analysis,Task Analysis,,,,,,,,,,,,,,,
Teamwork,Teamwork,,,,,,,,,,,,,,,
Time Management,Time Management,,,,,,,,,,,,,,,
Training And Development,Training And Development,,,,,,,,,,,,,,,
User Experience Design (UX),User Experience Design (UX),,,,,,,,,,,,,,,
Visual Design,Visual Design,,,,,,,,,,,,,,,
Web Development,Web Development,,,,,,,,,,,,,,,
Written Communication,Written Communication,,,,,,,,,,,,,,,
https://osmt.wgu.edu/api/skills/ac633ca2-a46b-45f6-b272-5f2db8e205cb,Common Problem Analysis with Technology,Western Governors University,Leverage technology in the analysis and solution of common problems.,Computer Literacy,Business Ethics; Business_Ethics; Professional_Ethics; Thinking; Computer Literacy; WGUSID: 222; Foundational Literacies,InTASC_3a; InTASC_3d; InTASC_3g; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_5i; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; InTASC_3b; InTASC_3h; InTASC_3l; InTASC_3o; ATD.Org.FR; ATD.Pers.CL; ATD.Pers.PM; ATD.Prof.TDFISTE_Educators_3b; InTASC_3j,,11-0000; 13-0000; 25-0000; 33-0000; 37-0000; 39-0000,11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 25-4000; 25-9000; 33-1000; 33-3000,11-1010; 11-1020; 11-2020; 11-3010; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 25-4020; 25-9030; 25-9090; 33-1010; 33-3020,11-1011; 11-1021; 11-2022; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 25-4022; 25-9031,,,Computer Literacy,https://skills.emsidata.com/skills/KS1227P6FBK34WLH6X8Z,
https://osmt.wgu.edu/api/skills/2ab4a78a-bbcd-46eb-95f4-69bcc048d74e,Educational Data Analysis,Western Governors University,Analyze educational data.,Data Analysis,Special Education; Curriculum & Instruction; Data Analysis; Ripjar Data Intelligence Platform; WGUSID: 249,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ATD.Org.DA; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.DDM.6a; ISTE.Coach.DDM.6b; ISTE.Coach.PLF.5b; ISTE.Coach.PLF.5cAAQEP_1d; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE.Coach.PLF.5c; ISTE.Coach.DDM.6c; CEC_1.1; CEC_2.1; CEC_2.3; CEC_3.2; CEC_4.3; CEC_5.6; CEC_6.3; UETS_3; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; AAQEP_3c; AAQEP_3d; InTASC_9c; CEC_4.1; UETS_5,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/767502c6-4eee-4a43-b232-0d6026294faa,Decision-Making Application,Western Governors University,Apply decision-making methods.,Decision Making,Special Education; Decision Making; WGUSID: 433,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ATD.Prof.TDFAAQEP_1f; ISTE_EdLeaders_2b,,11-0000; 19-0000; 25-0000; 33-0000,11-9000; 19-4000; 25-1000; 25-2000; 25-4000; 25-9000; 33-1000; 33-3000,11-9030; 19-4090; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090; 33-1010; 33-3010; 33-3020; 33-3050,11-9033; 11-9039; 25-4022; 25-9031,,,Decision Making,https://skills.emsidata.com/skills/KS121W46CJXQ5ZQ506MS,
https://osmt.wgu.edu/api/skills/56bb9e82-f6f0-4b0b-ae99-1605e245a177,Education Theory Application,Western Governors University,Apply education theories to learning designs.,Education Theories,Special Education; Education Theories; WGUSID: 437,InTASC_3a; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Prof.LS; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; ISTE_Educators_1c; ISTE_Educators_3a; ISTE_Educators_3b; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; AAQEP_1b; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; InTASC_7i,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Education Theories,https://skills.emsidata.com/skills/KS123C3758Q6YTCK5B6R,
https://osmt.wgu.edu/api/skills/4df75892-fe57-43d8-9c3c-97d67db4fb5e,Apply Evidence-Based Practice (EBP) Processes,Western Governors University,Apply evidence-based practice (EBP) processes.,Evidence-Based Practice,Special Education; Curriculum & Instruction; Evidence-Based Practice; WGUSID: 452,InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; NBPTS_Core_Proposition_3; NEA.TeacherLeader:RP; CEC_5.6; CEC_6.3; ATD.Pers.CL; ATD.Org.CBP; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; InTASC_6o; CEC_4.1; UETS_5; CEC_5.3; UETS_7; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; NBPTS_Core_Proposition_1; ISTE_EdLeaders_4a; CEC_6.2; ISTE.Coach.PLF.5bAAQEP_1d; CEC_2.2; CEC_5.0; CEC_5.1; CEC_5.2,,19-0000; 21-0000; 25-0000; 33-0000,19-4000; 21-1000; 25-4000; 25-9000; 33-3000,19-4090; 21-1090; 25-4020; 25-9010; 25-9030; 25-9090; 33-3020,21-1094; 25-4022; 25-9011; 25-9031; 25-9099,,,Evidence-Based Practice,https://skills.emsidata.com/skills/KS123987840L8J17862K,
https://osmt.wgu.edu/api/skills/ae33c4aa-341e-465d-8ebb-8943bc62d32e,Technology Usage Application,Western Governors University,"Apply technology usage in appropriate, safe, and effective ways.",Educational Technologies,TC-ProfessionalCore2019; Curriculum & Instruction; Educational Technologies; WGUSID: 561,InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Pers.PM; ISTE.Coach.CL.2b; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; ISTE.Coach.PLF.5bAAQEP_1a; ISTE.Coach.C.3b; ISTE.Coach.DCA.7d; ATD.Pers.CE; ISTE.Coach.DCA.7c; ISTE.Coach.C.3d; ISTE.Coach.CA.1b; ISTE.Coach.DCA.7a; ISTE.Coach.DCA.7b; InTASC_9f; ISTE_EdLeaders_3d; NSQ_Teaching_B5,,25-0000,25-1000; 25-2000; 25-4000; 25-9000,25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Educational Technologies,https://skills.emsidata.com/skills/KS121YM5YHFCQG78PSP4,
https://osmt.wgu.edu/api/skills/5fd241d3-0e1b-4967-9d8e-c50637c38c39,Learning Material Creation,Western Governors University,Create learning materials that support student needs.,Differentiated Instruction,Special Education; Differentiated Instruction; WGUSID: 1636; NGT; K-12 Teacher,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; CEC_2.1; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; UETS_2; ISTE_Educators_5a; ISTE_Educators_5b; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; ISTE.Coach.C.3b; ISTE_EdLeaders_3e,,25-0000,25-1000; 25-2000; 25-4000; 25-9000,25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Differentiated Instruction,https://skills.emsidata.com/skills/KS122XY6C5JW4HMT0VT7,
https://osmt.wgu.edu/api/skills/2aaef140-313c-4439-ba03-3edfcbeca752,Student Learning Opportunities Creation,Western Governors University,Create opportunities for students to demonstrate their learning in different ways.,Student-Centered Learning,Curriculum & Instruction; Student-Centered Learning; WGUSID: 1653,ISTE_Educators_4d; ISTE_Educators_7c; InTASC_3i; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4b; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3e; InTASC_3l; ISTE.Coach.PLF.5a; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_2b; ISTE_Educators_3a; ISTE_Educators_3b; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; ISTE.Coach.LD.4c; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; ISTE.Coach.C.3b; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; InTASC_2a; ISTE_EdLeaders_3c; ISTE.Coach.PLF.5bAAQEP_1b; InTASC_6e; UDL_3.7; NAEYC_4c; SL_GL6,,25-0000,25-1000; 25-2000; 25-4000; 25-9000,25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Student-Centered Learning,https://skills.emsidata.com/skills/KS441136FKYNP8XFVLZ1,
https://osmt.wgu.edu/api/skills/2d0dd644-7ec0-41ec-9315-3691b466d944,Technology-Based Learning Material Creation,Western Governors University,Create technology-based learning materials.,Instructional Design,Special Education; Instructional Design; PowerPoint; Prezi Presentations; Instructional Design Process; WGUSID: 1722,ISTE_Educators_4d; ISTE_Educators_7c; InTASC_3a; InTASC_3i; InTASC_3n; InTASC_4g; InTASC_8n; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE.Coach.PLF.5c; ATD.Prof.LS; ISTE.Coach.PLF.5a; InTASC_6o; UETS_7; ISTE_Educators_3a; ISTE_Educators_3b; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; InTASC_3c; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b; ISTE.Coach.C.3b; ISTE.Coach.CA.1b; CEC_5.0; ISTE_Educators_4a; ISTE_Educators_4b; ISTE_Educators_4c; ISTE.Coach.PLF.5cISTE_Educators_1c,,25-0000,25-4000; 25-9000,25-4020; 25-9030,25-4022; 25-9031,,,Instructional Design,https://skills.emsidata.com/skills/KS1256C6DBYG39V53J4V,
https://osmt.wgu.edu/api/skills/2999be56-7426-4002-940b-734d5a76e7dc,Professional Expertise Instruction Design,Western Governors University,Design instruction with professionals who have specialized expertise.,Teamwork,Special Education; SEL: Interpersonal Communication; Team Oriented; Teamwork; Team Building; Team Management; WGUSID: 2110,ISTE_Educators_4d; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3l; ATD.Pers.CL; ATD.Org.CBP; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; CEC_4.1; UETS_5; ISTE_EdLeaders_3a; ISTE_Educators_4a; ISTE_Educators_2a; ISTE.Coach.CA.1e; ISTE.Coach.PLF.5bAAQEP_2f,,11-0000; 25-0000; 33-0000,11-9000; 25-1000; 25-2000; 25-4000; 25-9000; 33-1000; 33-3000,11-9030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090; 33-1010; 33-3020; 33-3050,11-9033; 11-9039; 25-4022; 25-9031,,,Teamwork,https://skills.emsidata.com/skills/KSKJX44T33B6D4UCC8CB,
